STATE,H_OR_S,DISTRICT,NAME,PARTY_R,YES,PERCENT_RURAL,MEAN_INCOME,PERCENT_PRIVATE,PERCENT_21_FBLA,PERCENT_21_FBA,PERCENT_21_W,PERCENT_21_B,PERCENT_21_H,CHANGE_FBLA,CHANGE_FBA,CHANGE_HISP,CHANGE_A,,,,,,
AR,S,1,Gilmore,1,1,70.6,127247,16.19,3.66,5.52,71.54,2.63,9.99,3.17,5.17,8.16,6.63,,,,,,
AR,S,2,Stone,1,1,60.76,89369,18.49,3.13,0.99,79.14,0.67,8.13,0.55,0.7,2.27,1.61,,,,,,
AR,S,3,Crowell,1,1,65.48,86220,9.93,15.59,0.91,56.66,1.2,31.52,13.71,0.17,26.89,0.59,,,,,,
AR,S,4,Hickey,1,0,63.29,75592,7.8,1.65,2.08,77.77,5.44,7.03,-3.42,1.3,-2.74,1.13,,,,,,
AR,S,5,Rice,1,1,92.73,68636,12.73,2.01,0.5,85.8,0.63,6.29,1.18,0.37,4.13,0.53,,,,,,
AR,S,6,McKee,1,1,31.98,58606,12.72,5.04,0.87,81.83,1.46,11.15,2.86,-0.68,5.7,-0.2,,,,,,
AR,S,7,Clark,1,1,71.8,88322,9.95,13.51,1.8,50.4,2.86,32.18,11.58,-0.41,27.21,0.57,,,,,,
AR,S,8,Flowers,0,0,44.86,81814,14.95,2.96,2.48,74.63,5.33,9.67,-8.11,1.72,-10.87,3.06,,,,,,
AR,S,9,Murdock,0,0,35.95,61073,8.93,7.39,2.32,67.85,5.03,17.68,2.83,-0.42,7.5,-0.52,,,,,,
AR,S,11,Hill,1,1,41.95,63285,7.66,3.9,0.17,64.77,20.88,9.9,3.42,0.13,8.12,0.18,,,,,,
AR,S,12,Chesterfield,0,0,16.7,63405,10.26,0.68,0.18,65.15,29.86,2.65,-1.24,-0.22,-1.41,-0.03,,,,,,
AR,S,13,English,1,1,6.46,69255,8.13,1.04,0.18,83.8,8.56,4.17,-7.35,-3.09,-11.98,-4.54,,,,,,
AR,S,14,Tucker,0,0,0.18,69463,8.61,1.93,0.95,82.54,7.47,5.46,-0.1,-0.05,1.11,-0.37,,,,,,
AR,S,15,Love,0,0,3.05,93448,16.99,0.98,0.55,84.03,8.48,3.69,-0.02,0.27,0.64,0.12,,,,,,
AR,S,16,Hammer,1,1,18.05,64934,6.42,3.83,1.07,84.07,1.93,9.39,3.28,0.95,7.37,0.82,,,,,,
AR,S,17,Johnson,1,1,18.72,61678,8.12,0.5,0.48,92.87,0.38,2.65,-0.26,0.27,0.56,0.2,,,,,,
AR,S,18,Dismang,1,1,58.91,58231,11.28,0.37,0.36,92.86,0.3,2,-0.46,0.22,-0.17,0.23,,,,,,
AR,S,19,Wallace,1,1,63.32,59553,6.47,1.25,0.43,88.82,1.32,4.23,-0.78,-0.11,-0.88,-0.22,,,,,,
AR,S,20,Sullivan,1,1,17.89,60242,9.11,0.28,0.2,92.22,1.69,2.15,-6.31,0.02,-10.61,0.02,,,,,,
AR,S,21,Johnson,1,1,56.14,75999,7.64,2.04,1.17,71.04,17.77,5.58,0.51,1.03,1.87,0.89,,,,,,
AR,S,22,Payton,1,1,80.31,60897,5.78,1.12,0.15,70.52,20.8,4.19,-0.2,-1.65,0.65,-1.66,,,,,,
AR,S,23,Flippo,1,1,79.13,60890,7.47,1.33,0.38,70.64,20.22,3.55,0.93,-0.24,1.77,-0.81,,,,,,
AR,S,24,Irvin,1,1,98.89,56566,7.64,0.85,0.37,36.78,55.4,2.84,-1.47,0.1,-2.26,0.19,,,,,,
